measurement_date,event_count
2019-12-01,1
2019-12-02,1
2019-12-03,1
2019-12-04,2
2019-12-05,1510
2019-12-06,1492
2019-12-07,1115
2019-12-08,972
2019-12-09,1514
2019-12-10,1450
2019-12-11,1145
2019-12-12,1547
2019-12-13,1134
2019-12-14,796
2019-12-15,1499
2019-12-16,1826
2019-12-17,2213
2019-12-18,1991
2019-12-19,1682
2019-12-20,1543
2019-12-21,1396
2019-12-22,1466
2019-12-23,1872
2019-12-24,1717
2019-12-25,1632
2019-12-26,1599
2019-12-27,1157
2019-12-28,1043
2019-12-29,911
2019-12-30,1406
2019-12-31,2275
2020-01-01,2656
2020-01-02,1912
2020-01-03,1547
2020-01-04,1065
2020-01-05,924
2020-01-06,1509
2020-01-07,1668
2020-01-08,1688
2020-01-09,1249
2020-01-10,1386
2020-01-11,1173
2020-01-12,1532
2020-01-13,1360
2020-01-14,1318
2020-01-15,1352
2020-01-16,1955
2020-01-17,1378
2020-01-18,1243
2020-01-19,1243
2020-01-20,1499
2020-01-21,1384
2020-01-22,1709
2020-01-23,2054
2020-01-24,1514
2020-01-25,1151
2020-01-26,1306
2020-01-27,1372
2020-01-28,1563
2020-01-29,1873
2020-01-30,1583
2020-01-31,1463
2020-02-01,1317
2020-02-02,1041
2020-02-03,1057
2020-02-04,1249
2020-02-05,1488
2020-02-06,1653
2020-02-07,1657
2020-02-08,1052
2020-02-09,1214
2020-02-10,1290
2020-02-11,1148
2020-02-12,1170
2020-02-13,1026
2020-02-14,1142
2020-02-15,874
2020-02-16,1055
2020-02-17,1462
2020-02-18,1741
2020-02-19,1209
2020-02-20,1321
2020-02-21,1392
2020-02-22,1000
2020-02-23,959
2020-02-24,1053
2020-02-25,1288
2020-02-26,1656
2020-02-27,1478
2020-02-28,1935
2020-02-29,1903
2020-03-01,1494
2020-03-02,1860
2020-03-03,1640
2020-03-04,924
2020-03-05,1525
2020-03-06,1458
2020-03-07,1124
2020-03-08,1429
2020-03-09,1477
2020-03-10,1482
2020-03-11,1109
2020-03-12,1114
2020-03-13,1171
2020-03-14,837
2020-03-15,1087
2020-03-16,1285
2020-03-17,1635
2020-03-18,2054
2020-03-19,1581
2020-03-20,1905
2020-03-21,1328
2020-03-22,1181
2020-03-23,1438
2020-03-24,1471
2020-03-25,1149
2020-03-26,1027
2020-03-27,1133
2020-03-28,962
2020-03-29,1049
2020-03-30,1427
2020-03-31,1563
2020-04-01,1639
2020-04-02,1343
2020-04-03,1428
2020-04-04,1529
2020-04-05,1537
2020-04-06,2290
2020-04-07,2121
2020-04-08,1329
2020-04-09,1934
2020-04-10,3481
2020-04-11,2142
2020-04-12,2374
2020-04-13,2005
2020-04-14,1609
2020-04-15,1515
2020-04-16,3214
2020-04-17,2462
2020-04-18,1861
2020-04-19,4789
2020-04-20,2783
2020-04-21,2283
2020-04-22,1851
2020-04-23,1977
2020-04-24,2720
2020-04-25,2037
2020-04-26,1858
2020-04-27,1401
2020-04-28,2278
2020-04-29,2136
2020-04-30,1961
2020-05-01,1451
2020-05-02,1378
2020-05-03,1013
2020-05-04,1296
2020-05-05,1437
2020-05-06,1348
2020-05-07,1421
2020-05-08,1112
2020-05-09,1239
2020-05-10,1275
2020-05-11,991
2020-05-12,1644
2020-05-13,1536
2020-05-14,1618
2020-05-15,1610
2020-05-16,1817
2020-05-17,1440
2020-05-18,1261
2020-05-19,1313
2020-05-20,1230
2020-05-21,1229
2020-05-22,1069
2020-05-23,1156
2020-05-24,1456
2020-05-25,1872
2020-05-26,1977
2020-05-27,1815
2020-05-28,1440
2020-05-29,1587
2020-05-30,1518
2020-05-31,1497
2020-06-01,1309
