metric_name,count_with_metric,account_count,pct_with_metric,avg_value,min_value,max_value,first_value,last_value
EBookDownloaded_per_quarter,45407,63606,71.38791937867497,4.4623561475150077,1,693,2020-02-22 00:00:00,2020-05-16 00:00:00
FirstLivebookAccess_per_quarter,1,63606,0.0015721787252774896,290060.333333333333,60816,525143,2020-03-21 00:00:00,2020-05-16 00:00:00
FirstManningAccess_per_quarter,1,63606,0.0015721787252774896,290142.333333333333,61269,524328,2020-03-21 00:00:00,2020-05-16 00:00:00
FreeContentCheckout_per_quarter,20517,63606,32.256390906518256,4.0918421971372047,1,48708,2020-02-22 00:00:00,2020-05-16 00:00:00
HighlightCreated_per_quarter,2787,63606,4.3816621073483635,33.2913818969828305,1,1453,2020-02-22 00:00:00,2020-05-16 00:00:00
LivebookLogin_per_quarter,31143,63606,48.96236204131686,1.6010537653188950,1,175,2020-02-22 00:00:00,2020-05-16 00:00:00
ProductTocLivebookLinkOpened_per_quarter,16214,63606,25.491305851649216,4.1228014348530433,1,16905,2020-02-22 00:00:00,2020-05-16 00:00:00
ReadingFreePreview_per_quarter,19754,63606,31.056818539131527,5.7206885667807803,1,330,2020-02-22 00:00:00,2020-05-16 00:00:00
ReadingOpenChapter_per_quarter,14157,63606,22.25733421375342,5.7302366523343603,1,386,2020-02-22 00:00:00,2020-05-16 00:00:00
ReadingOwnedBook_per_quarter,25212,63606,39.63777002169606,21.3778012301502234,1,1485,2020-02-22 00:00:00,2020-05-16 00:00:00
